id,name,album,artist,popularity,release_date,duration_ms,explicit,genre
4ZtFanR9U6ndgddUvNcjcG,good 4 u,SOUR,Olivia Rodrigo,83,2021-05-21,178146,True,pop
0bILU0UiNDmA5Ff6whhb2R,Religiously,Religiously. The Album.,Bailey Zimmerman,77,2023-01-11,178723,False,pop
5gDWsRxpJ2lZAffh5p7K0w,Stargirl Interlude,Starboy,"The Weeknd, Lana Del Rey",83,2016-11-24,111626,False,pop
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Midnights,Taylor Swift,84,2022-10-21,200690,False,pop
6qn9YLKt13AGvpq9jfO8py,We Found Love,Talk That Talk,"Rihanna, Calvin Harris",84,2011-11-18,215226,False,pop
5KtvumPgVZmt8wg9xONE0T,Picture You,The Rise and Fall of a Midwest Princess,Chappell Roan,78,2023-09-22,187130,False,pop
1LzNfuep1bnAUR9skqdHCK,Fade Into You,So Tonight That I Might See,Mazzy Star,81,1993-10-05,295600,False,pop
2nMeu6UenVvwUktBCpLMK9,Young And Beautiful,Young And Beautiful,Lana Del Rey,86,2013-01-01,236053,False,pop
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind","Drake, 21 Savage",82,2022-06-17,218364,True,pop
7j31rVgGX9Q2blT92VBEA0,Teenagers,The Black Parade,My Chemical Romance,81,2006-10-23,161920,False,pop
6tNgRQ0K2NYZ0Rb9l9DzL8,obsessed,GUTS (spilled),Olivia Rodrigo,81,2024-03-22,170541,True,pop
